sample_id,pcr_ct,method
"8BZUQGEB7ZXB,8JB37MDATKR9,86F7FSDU3KW9,2DK3ESBPN573",29.4,Capture
"2W6S53J8SC8A,9DNVTCG3ZXZ7,2M54928L3UC4,2R8CYVUEMKSE",30,Capture
"9VDW5JWXTTT7,8Y8R66EUPR83,6ET2RE9BUKWE,3MT7RCBZSKY6",30.2,Capture
"8T6S3DJ8RTE1,8GGCDDVQ2CV5,35SBB5KZT73B,9XJRTJCRJAR0",31.8,Capture
"6BRZ3KUUJXDE,8NJXTGY99D99,44QCHCH2A8Y6,2DQC35MXG2XB",31.8,Capture
"7ZMCUUR6T376,86Q8L4J982U5,3AEMVGDD7W34,5MDGLPT5G379",32.1,Capture
"3TBMGYLZD9SC,86T8UNBJ558F,6YJ9LKUCJ63B,22AZA8PCD5GB",32.5,Capture
"45UGBZ45T7DA,4UH8HBYY4YGE,96BWV2VRBEV3,59YRJDLXEQG8",33.2,Capture
"4EM93ZT9T5D3,3YE4UCBWNFG4,37YNEWLWCY69,2QHDL3AR5LZB",33.7,Capture
"66ASLVVDF6GA,4KX2BB26FLG4,2VWXWKRKD7RD,935UQ33CKQT3",34.3,Capture
"76KAAW2RPK45,5T36TE9QNW7E,74ZNJBUG9677,9HWQXTX8F5VF",36.1,Capture
"5CJPEMXATFP2,75HMBDGFYUV1,5MBHRR75KCYA,3MR8CASFRUD4",36.2,Capture
"4EAP5W3XC3M1,445DXJL7NW67,83VAUM2B6KL5,32747AEYCUM1",37.1,Capture
"9CHJ4Z2PJAQB,7GX588TJ9FDF,45QNFBHC4WZ0,24EZJ5GAPC4A",38.2,Capture
"8JPM9V3VDLR4,5MN4AKFSKWV3,5GQB2GAPGTLF,2CVYE7K9LLPD",19.6,Shot gun
"2XRET6Y7DNH0,8WGBENDL87JD,6LWQRUZZ8344,637VYSK9QUHD",21.3,Shot gun
"26WBUA52AFEF,8SMTKMQF6HP3,3U2XAP5QJ6L5,3NW4LFLZRM48",22.1,Shot gun
"89XZFRSJ9WR3,7MMTB3LDF2L9,65YPPZLX6MW0,27RTUV343ZDA",22.3,Shot gun
"4QAFYUAKGDSB,82PRXTSQ6MN9,5F55B6LWW4C2,9S3QY82CHC66",22.5,Shot gun
"3UAMHUQMFJ57,4BLQS5JPVU52,6435XAKQ6YHE,5Q6CGADLJGQ8",23.4,Shot gun
"2KCNFVD4AMW6,394URXPCE4VB,9W26ALDS6QHA,2PS3WU5CEZGA",23.5,Shot gun
"9B99F9ARGKXC,9ZFY42ADWVG5,9MEL4TWYVSWE,5456FJCNT941",23.5,Shot gun
"36SCWTE55BU1,64GELTJUKAG2,6AU8XTGFYB76,22ALUQHN9X7C",24.7,Shot gun
"2LQL8J96UJC4,6PXMLKJ794RC,8LLDRYS58KS8,3WMADRNR6BJ7",25.7,Shot gun
"4X2MKALJ4PKE,5UW4289D8B46,8QQ697DBMEVE,25F25FFKC8B4",26.8,Capture
"7CH4Q6BP8LQ9,26F2MCUYAF60,4R9YXDG2NWB0,3PMMCMZZVK80",27.4,Capture
"5AJDNY3TA3X9,9TWCCYLR6XY9,7K2QNJTS9WB8,4RDXSRQUUUD6",27.7,Capture
"3PVLX3JBUW7B,7XA7LZADQCFA,9LLQ2NFNVUP0,7W4SP7G58CS8",28.6,Capture
"3DDP6D2BQK3F,2Y59BEHXVWJ7,8H84UPA4E2EC,7AHPNXUPA5B5",29.3,Capture
"5W4TZMENPC6C,8KXFF9CHUF7A,2524ENMGSQKB,67C9X8Q8F9XA",29.4,Capture
"83958KBZRXV3,4DXPYRVH9LNB,7W6Y3EJX5NY6,7PD6NYULKUKB",29.5,Capture
"4U4F25MZNDM0,72SF8PYPF5ZE,2NBXAYHRT9YD,5NH2BY6K5YF4",30,Capture
"7PSSS7NJK728,498U4TNVZAA4,3JSWW5UAN9T3,3B9SNRNQQEL2",30.3,Capture
"3LHZTB5Z46DE,7BH5VQD6QHU3,8CZ5YKJ82KAA,35NEFW45EVAF",30.4,Capture
"7S9WTYF7HX63,7CFHFQ6HQRRC,8MPDCGPHZ8RE,3W8LAHZKFB81",31.3,Capture
"753SENXGYZM1,2BQMK4FPWWX0,4J8MTFH8A8A4,5KEK8XX9FQXE",31.6,Capture
"9GQXAZTCLG77,8X6RUWYAG6VE,9Z7XG7QJ6CU8,4SJD93MJWKD1",31.9,Capture
"22VE7FB6PQME,9D4XEGHXTYUC,473L5WGT5QEF,9CKFH7B6ZCG7",32.4,Capture
"7YM9QQRNVMWB,69J4BHYXPYP8,5H4F4JEFXZH2,2TB6U9UYGL82",33.2,Capture
"9JN9BSHPGHU6,4MFVMW7U2RH0,63PNJVGHUR93,39K7UCR7UL53",33.4,Capture
"2EBBLJCZLGD1,2363RXZ2A2CB,7XAHBMYBWA98,3C5DHHSQ9731",34,Capture
"5XLXSEE3NMSC,4V6KNXANG64C,3JM4E2B2BH2F,2NELFU6Y2QB9",36.7,Capture
"7NQ3KUC66RL3, 4ZW4V5DWN2AB, 22R23MBRPEQ0, 74K7LRZJEYR0",17.6,Shot gun
"727QU6TZ45UC, 8UWXW8AKZ7UD, 32FWQSRPUC97, 2PFF3DBRZL24",18.4,Shot gun
"8YVBBSKLAG3D,47BZ658HZU4A,439M5Z52YC3E,4A4VCSY6YHR2",19,Shot gun
"6WB87M3XTGK6, 8Q2AXA8LTFMD, V340562480, 8REVKRH9V8J4",19.6,Shot gun
"5CFCPM2ED454, 68EDYQDWXQ37, 6PCJ9S5729PB, 2KXWQPWJDGK1",22.6,Shot gun
"6DAAAY5HJBZ9, 5RAM7FF8WDA9, 67HDKW9YFTN4, 78LB3K252UH1",22.9,Shot gun
"6CRK7YQUERHC, 5LNYPS6FSUKC, 6LEJ7S6S6NLA, 9NP6GJQDSCH4",23,Shot gun
"76ZDQWW85VMF, 8QUABUQ7ZZRA, 4GGZFBXA6EJC, 6X26GME5JJW9",23.5,Shot gun
"662NG7J6KLS6, 22CX8Q4GC424, 3SZPKLB3WBDB, 2Z4GARZY3R6A",23.7,Shot gun
"3JR6LLH42CXB, 64CR7A7Y8XS4, 9J4ELBXUTLQF, 9BHF5V549CSD",23.7,Shot gun
"2QVNDLX657S3, 5XVCVYKQJG81, 7PVMLCPU4Z4C, 6FR7PBQXBN2B",25.8,Capture
"5FBC55J7LLH3, 6SDZC2JZLEA1, 96DF4R3H8YBA, 56XKSTC2NEL4",26.5,Capture
"9VAD6KZXA9M2, 3DRVH6N3LKED, 8SULFDD9JBW8, 9XCYQ8JNE9J3",26.8,Capture
"86RWMS6H9LT2, 6LHYDV3V6YHB, 4VQGSYTVGRK6, 3F429AP6MYV2",27.8,Capture
"8PMS4CARP6AF, 75DGPBJG59A2, 3AYC3NBBG7QA, 4GKV5WZUKREE",28.9,Capture
"8Z7HR5RLLNK2, 86QW6QUT4UE5, 9RJESZAY8YR9, 2TCZ9MWCWWT8",30.9,Capture
"4C95VMLJW5YD, 46SYV2JVKTL4, 3M6ATLPKVZ4B, 6WLKNRP9YCLF",31.1,Capture
"93G9DH88B7FF, 7SJT3362VVBE, 5QMKEG78H9E6, 9AZY9479FR33",32.8,Capture
"9LF4M9DGHDV8,8P2D6PDR3NT9,7HUTVRJGNDK1,7T3YU2CFPUF7",21.7,Shot gun
"55TQWP698GXA,3XYH3VCYGHP5,86CH5URP7XM9,6CCSMV6WQ235",22.4,Shot gun
"6RBNPY9G7LK0,2CWXRKNR6EN6,6LBX5RR6QYKF,3DJMULPTZF4E",23.2,Shot gun
"2WTQRNK4ZCR6,79D8EXAUUE9B,5PY6SVCH623F,43JZLKLH5555",24.4,Shot gun
"89L5FBH5WJ67,4P92JCBGLE5A,2GD8PANZDK7D,88RDLHKEHQP3",24.5,Shot gun
"3LA5EBA9X2Y2,7DMTPJD3S2V3,2ZGJS5XD5LJ7,754Z8XGYWPQB",25.2,Shot gun
"9YH2PW852YW8,2UG79Q63ULB8,3RBAHGTEX795,7TCDZJ5VU5D0",29.9,Capture
"3FS7LDSQRMN4,996FUP8QGBUC,65RMW2HHQXLC,9TUVZNU9JJTD",30,Capture
"8W2J5838PK59,3VTJ4DDMHSJ1,4C5323PQ7K92,8FGZDYAGG7H2",30.6,Capture
"9GTD25LVZYV1,5Y7UUSKG7VU7,54Y4UEHK94JB,8CQQ4ZMTHKVB",32.1,Capture
"7FQA27UKUNF2,82KXDE3P3244,4XUHQ75AP4P5,3XU78ZCQYLU7",32.4,Capture
"232WFXBNSBND,23TLQQXXK8RB,9SG8UMLRZEH3,6MD3ZVEFGXJ4",32.4,Capture
"2HGXZGH4SF30,9C4GYS4YRHR1,9UDBZKXV2PWE,54Q8YLQP8J98",33.1,Capture
"2YL3MY6FTRA3,8AUGBD5E5E6A,5TTR7PEGAEX9,9KWBCFH886E6",33.4,Capture
"8V6U6YZY6YDF,2KY7HJCEDDR9,4DMLF9XVLHG9,7XJTL8HUR4MA",33.9,Capture
"72HTHUQKVMJ2,2PDB363ECNMB,6YYNN8MRMF31,8MZNAWCB4NHD",34.5,Capture
"57XNVBBNEM4F,7TT7HYL2S67A,3Z6X7NMMCKA0,5HL6Z6NRTU3B",34.5,Capture
"4MK9LMTDUFN7,5BQSTZKCNQSB,3XL7UDT75AB6,9W7TFBS7FV98",37,Capture
"6L9ANXVLCWNC,53ZYKAY55Y9F,2NJE3QVSEL8F,2RV5TF28KA21",37.1,Capture
"7UG5E2XMRG9D,7GHN2BCN2K2B,97DFGCYAVP8A,2UZT2SAAW5Y5",38.8,Capture
"66QB8HV75DS3,84H6W8GT3321,4HM3C7UYQGH4,8RCC7ZNXRRN7",17.3,shotgun
"7QBJQTEY789F,62AVGXBJVYP4,6GP9HP2QQTP9,7EMMK3ZZZSAB",18.4,shotgun
"9TQM3NKSBK67,6W4SAGK97T71,6TSPLXFYVZV5,77MHTN7K8NDF",18.5,shotgun
"7JTSCU6WWXY4,7F5QCK3JU4WA,824BUY3BMY73,9WVFRWA6L3LD",18.9,shotgun
"2UA5VYLGKJXE,9BVK53C8JJ96,3MTX6V5TFWGC,4HVNHR5TDQJE",19.2,shotgun
"7RS93QL9MKTC,5JLLXJV5S78E,2ZDPU5MGEZYC,34NRDY3UUCJ5",19.7,shotgun
"9U9N8QSTY6U2,9CWJA6BX3YR3,99PU9GBN2LEA,6Q9TRNCT3KP1",20.1,shotgun
"9T2ZVA72NUGF,2BAXNXZYVT8C,3BZNE86SMM6B,49WZX8SG4G87",20.3,shotgun
"3NBC2DPZS9DA,3ZBTWUBKJN27,2QHR29UYAGAB,62JWCX6VN5DD",20.3,shotgun
"7CBYK283V2L4,23PXGQJ49PE6,3AH7ZTDVCQM6,34RJARS3SZP1",21,shotgun
"5HTQDWFRETN5,3JH2FC3PQER5,8W7Y2C29KRZ7,2MTBQ5JEWKA4",21.9,shotgun
"2LZW3K7CST74,4S25BMFDT7V0,5KV7F9DXUMX8,7QWSU7SQQUGA",22.3,shotgun
"6NPYQ8XUN6Q7,3N3SJ5WRMVFC,83RPXMTLKMBE,6WXZ7HMRQC3F",23.3,shotgun
"7RUFQPFHYS53,2WM5XVCUPCYD,9VRGGBHBUMHC,2TGE54SFXPTA",23.3,shotgun
"5VZTKFXQUFE9,7CMRC3WKH9X2,95A89ZNQDGPF,2UXHLKLYHAP6",23.8,shotgun
"9B7DETEDQM5D,62QFLH7ES7QF,3V9VUL6L7DRF,3PCJ6TUGZUN5",24.3,shotgun
"7Z36HCH9EHB6,9CLELABF9BFE,9RF9KH6VE2LC,4CN9WP2VPNH6",24.6,shotgun
"2XVHFT79NCJC,5BXNLRRQPKR3,9U8U8S3DSYD8,24VDBW5L7N59",24.9,shotgun
"35AANVQT8YLC,54C5GP2CPW6D,5PX4KQKB2VVA,3RXY4WCWJL24",26.1,Capture
"2DPL74K6UJ47,2YPD4VQE62E0,74TAHDF2MVCA,2ME9JFYV6HP7",26.2,Capture
"9QBBJK4KSAAC,3UPYKX3FJ5PD,7CDH65DAJLCA,8NBJDV3KW48C",28.3,Capture
"4CBP8S2F74KD,8DQWJ29BG6KD,2239NXF5TR54,34ARN6DYSBCB",28.6,Capture
"5DDCPU3P87KB,7GV8UEUUTLND,3FZRZSWZT7M4,26JRSWVRTLTA",28.8,Capture
"4GSRCXN9VDQ4,4XF4NDQMH6T4,242QBB8HGPV7,8MAFMA953PZ3",29.5,Capture
"8ENSWEPYQ8A2,95LLCKMCSXVF,4FUKTBVTB4NB,9Z8U9DG2WA8B",29.6,Capture
"6MH92ZFJCMW9,6JUWTJ5NKQCF,3PMEFPUAD724,5QS8WUZMG7UF",30.5,Capture
"7T57NZESPYP5,7U587CVPHCN5,3KAVECD6YK53,4TAGCPY6WZWA",33.2,Capture
"7576AQMPKE49,7H7UHCCSKC6D,63CPCKZWPRK4,8FHMDX3GYYL4",33.6,Capture
"997JMKHBVXDD,8U9MDLM4WPK0,4ZDLFUHJYV59,5LP5AZZX9ZY3",34.1,Capture
"9PRAKLXHNSV5,7KC4CEQAC3B8,6R98G36DB5U6,99PRA4LSKM34",36.6,Capture
"6UFHAY6XKJR6,7ULAAE63NTS5,7TD5VVSBJNQB,7QN6VLGAB8J4",37,Capture
"6QM5ZUVZUQ76,6LHPQJL2F7J6,67KNR8VDYPR9,3L7L5YJS8YJ1",39.3,Capture
"V341044681,V341044312,V341043769,2BCGQR962TKC",17.1,shotgun
"V341043167,V341043648,4Q53BBUJMB8C,3JKFLWYU98YE",17.9,shotgun
"V341045427,V341043280,V341043697,8SAPVM2NKWP2",19.3,shotgun
"V341044858,V341043587,4EZ7QF6V5PDE,V341043619",19.4,shotgun
"V341044640,V341043685,V341043869,733N79HVQNKF",19.9,shotgun
"V341045066,V341043398,V341043358,7CZNH7YNTJ81",21.2,shotgun
"V341045373,V341043747,V341043987,5LXZWRSJ77Z6",21.7,shotgun
"V341044655,V341043082,V341043239,V341044361",26.6,capture
"V341043309,V341043731,4GP2KRBDP2ED,3DS5JQLQ23YB",27.4,capture
"V341044690,V341043157,V341043946,V341044077",29,capture
"V341044754,V341043435,48DAC38VDR44,V341043555",30.6,capture
"V341044802,V341043072,V341043843,4U4UP6HZTGZ5",33.5,capture
"V341044566,V341042999,V341044067,5967UVY5PQK1",34.6,capture
"V341044882,V341043983,V341043707,2LP72V778NM4",37.2,capture
"V341044832,V341043539,V341044043,5RAHNDD5DNX8",37.2,capture
"5W7LSAT66398,5KEXWLA2LPCB,8RG7BQZJZ3FE,6SH4HW4PBX7B",16.1,shotgun
"5S4ZBDREY965,8MJ5JHECVP8D,9PU4WVWWKRF7,47U2VKT3WBMC",18.7,shotgun
"8ZZDYYBKRSQ1,9EQWC4GCZNBB,3GAHXJNKC7DE,7G9NUPLW3M54",20.6,shotgun
"4Q2L57VWAB27,5BLRVE9JSSY8,3FTEFEW95S49,7VHUL3NFBH8F",21,shotgun
"3TPMAXWQE937,3P27AG92ZPQF,4CJWCV3ERBJ8,2K6GSWNQCEE3",21.7,shotgun
"9KAFYR2LJTFA,7Z2NGB9THXHD,5WLU78TFP588,5SMCWDYNV6QA",22,shotgun
"3TZ83ZZY5WJ5,5UCBZ2QGTP85,7AB6WV4A5SM9,2WGYR26AZ3F2",23.2,shotgun
"3C5SPGRGUTL3,2X7L7NADCTJ4,2TJDDN2MQHKD,2RA9RQMQYNYB",23.8,shotgun
"2A4MHMNM8MW8,4XSWV2PBKVLE,95Q6FYF5GPU9,63P2NTED4T2A",24.6,shotgun
"4N59DM8G73BC,3MYFN4UKKHX4,9YHSM4QQEXAE,4BMQXYM35WP4",26.2,capture
"2A7ASBE8AGJC,8YJMKLRCMANA,8VY9AQ95Y7AE,9ZS9KB3JFLV6",26.3,capture
"2VEMMCXA34M4,8Z29SBKUG3S5,5RA93Y54U2HC,2L4EQ9VVRCN7",26.6,capture
"9UKJXNTYVY2A,7VUPG74EFWUF,7DCQMGNYT66A,3CNYTSA3YZ54",27.2,capture
"6G5YRAG9XH72,36QJDP6EKS85,724LPG4MEER4,68ZDX2NUKVWA",27.2,capture
"2PDZBVWULC8C,38HUJHKY7Q5A,4FZJXAYU5THC,835TETBFNV3F",27.9,capture
"5CGAAFD5WWR9,4B7RW6NLPVEA,6VUSBV33NW8C,7JFBJFEYN7NE",28.6,capture
"76M5JLNSAMS5,6WKPF3BMHHRC,892UKJEWFRL8,962PSERPL2KD",29,capture
"26UDSXHL4B73,4GQMRXAWZC84,36ECXXVZM7T0,7HEM6JQTS5S0",29.6,capture
"3QJ46XV79UW9,3GLCAK5SUGUE,6QKL2CGMDLN4,47GKB676YWKE",29.9,capture
"5CTCMTKT323E,9ELHKRSBA820,7CA7ATTE35YF,8LK7QWP4W5B6",30.3,capture
"3MWEVPTF35L2,2XCXHK9EHQFE,47SD384R47ND,987K929RQ6L6",31.4,capture
"5VKE3FPYF4FD,7S7MXULSJYG3,9UGF494Y2YU7,4EZ7WNR4VK5B",35,capture
"9JWRN2WBPZM8,8SHHGBV7VE48,2FHAKR2TXNWF,2XV9QXX8SACE",37.1,capture
"8WTQ4XWP9RN1,5XP2GL8ZGLM5,29UFYRV29RX4,6UX5QU4UZEZE",19.1,shotgun
"5NSQMUDX5LSA,3TNBV5W3ARJ0,7Z5X42B4FKJB,8WTHEPAUQJ41",19.8,shotgun
"8GTHWKRB6GE2,4G4GXCLYB375,48Q5JH6B32A1,9V4L2U7CZ7M5",20.7,shotgun
"7KVFLKMNYGE6,3G83K5Z5MURF,2Z6B5AHEVGW8,6Y5HY2KD5K65",21,shotgun
"9TL6ADYKUAC9,5T6ZWBMVHL47,9ETZWHZCW758,2UBYLFLCLHJ6",23.2,shotgun
"44SAAH9N8F8A,5GXBPMAWC6U5,8FA95J84ELV4,39SAJFGQ4TVB",24.6,shotgun
"294FC6GXG6PA,8U479A2TKBX5,3M5FL2GVKDUD,5SK4Q93VQGDD",24.8,shotgun
"6QAPSPKRH6E4,2RVKNZ8JBLBE,4LJH8F7H9JJ1,687HASZ6HYS2",26.4,capture
"3XFQPPW8UVT8,4UF4TK26Z5P8,5ZQTW3VPBRL9,2AP8CXCB6LN0",27.2,capture
"63ZYLNLVC7U4,35FFEYUQXCHE,5UZQYERDZKHE,9GQXMS39C9JF",27.3,capture
"8DLLXFTK2UK7,5K3THM8D8HZ6,54PQ93HMZXDC,4UF2EQRDNRLF",27.7,capture
"6KHLUJ5JY2YD,6GFDGSTPHGT7,584FNYB7CT23,8RLMKJLP6WU8",28.6,capture
"4W36JACD9WP0,47EXVHEJRYE8,22KSCQRXAHGB,6BCQDW9ZUCNC",28.8,capture
"57ZHECXK9YJE,7VSJQMVLBH50,7HATL3Q4SF69,6LWL56FTEEK7",29.3,capture
"54WRXECV8RRB,245YPW5XSUMB,6EAZVBGWATLF,6MWJHWAHHYX9",29.5,capture
"5AA29KA3J5NB,9868SW32XSC2,97ZZAU86A6U6,9SFHJL9V5QX1",29.8,capture
"6RRNNJ2EPMJF,3P3X6L5VQ8B4,9VYLALC77VJ1,67TZ84HLPVCB",31.4,capture
"6FJBZAB9P5Z9,96BH4F9JV3R9,5TW5CCGVEM6D,9DU2V5A3B8D2",32.2,capture
"4CCP2PPZ22H1,6XYQ5STKQB53,42MQUBL74GK9,4N8XL27MEBY2",32.9,capture
"8FHKRSWRGT25,2CCCN86N5476,4LZR5UTRVR69,5JPXAE9TE7K6",34.5,capture
"7AK3X2KQN8BF,9GEUDKKGMTF6,29TAQBBT4GR7,4LJCCF9CYLF7",34.8,capture
"6EXENAGR2TXA,5N685NHTUTVC,9MUA4CL47WJ7,5VMKLDQQVCM5",35.3,capture
"8PA38DWARXH4,39BWDSBBLF5D,7EA38L6LC29C,529MLFMB46Y9",35.5,capture
"27XPTXJHSF74,2ARNLJ3Q5LQ8,63DN4FJQRK9A,4DNRDL4Z3MLC",36.6,capture
"4LFB9EGYQ6V8,2556P4R23BP2,7SZ2ZBTU6C91,8HGK53TESME2",37.1,capture
"8NUS8W6CZ4NF,8MLX9REJ5U75,8JQJBYPL8KWD,7R989WDBDUW5",16.5,shotgun
"9JKG9B8EH6J1,56SNQGCTCHGA,49PA9NM45Q31,6SD9VJSXPRU3",17.6,shotgun
"3Z5GFMG2SQQF,923S77BKLQ94,2RJNVA5H6FY6,7L6QGTLF8VC2",19.5,shotgun
"9X3QT9DH3N57,887AYC4KG8M0,2JCWHYQWHX6A,548HNRM7BTAB",21.7,shotgun
"9RJCFEPNVHZ3,62Z4886HWH30,75KP7UHQQJZ1,992HHH8QP748",23.8,shotgun
"2Z6HNU3A8YY5,62BZ7UG59FG5,5JGNHH3BY338,7GCAB5TMEYUD",24.5,shotgun
"5WWPQCFG9DUB,5BCCB47M7WCE,8BFPGPUGTYWA,2EZTLGUU9EEB",24.5,shotgun
"78WFNV6PM2T1,4MUGDMMEGUC6,5VRTQNNZ4UJA,8962J23SG4Q9",25,shotgun
"9JANACDQJ8QD,3ABXV6QHFGUD,6FGVSM3YK740,6B5LREQSW3WC",25.5,capture
"7APMYSAJQV64,3USVTVVS9UY5,5US2FBEH2NQ9,44S5QYZ967F3",25.9,capture
"5MNTFDELXZ30,8ZGVLMQQ6L3D,5UEYAPBHBDVF,6EDUXBEB6USE",27.6,capture
"9G7QPT97JVX1,6J8NT57BL7AB,8B4J52GMZCD0,86M42F3WVUAC",27.7,capture
"84CN9T6NEN80,6HAAAHSPSL53,2ZCAY7DK9HT5,7RX36SQ2PDL8",27.7,capture
"3KBQQNRXHC77,32BRAFJ4M42F,2DZ7WJAHLEAB,7KCG3LYXWW49",27.9,capture
"3BP5B9Z5VV41,25TV7BW8R9MF,7FV6K5PRJ5RB,97G6VRBSB923",28.2,capture
"5N492S6AWRH6,4ANHKQY778KC,35EKRRF3DAH5,7578CTFN28A3",28.6,capture
"79FRMV73HKT1,8APJH35Y9AC1,8LFWS6ZY8RL7,6PCSREBH7BDF",30,capture
"3B24XCSR4XTF,7P7WN4BYX3V6,8G58ALQLDEFC,3R5HCGA3GZW2",30.2,capture
"3UTZR7MUD2CD,6PA4SJGJEXY7,2MMEBR7J373B,5GC3ERZ3H8Y9",31.2,capture
"9LUWUDZHT8W2,6JK723EJRG35,59Z6D8EA5730,8L73SH52EKB6",31.3,capture
"2RUJNF42B3C0,6FYZTLSRX679,3VDK976B5MGA,2HDGNSMVSH34",33,capture
"8MCMQZ3HKCX7,8N99C7Q7925C,4TVVME4TQ4E5,5RYDZAZU2HP8",34,capture
"9QZN2G5X3UZB,2AXHDYJWN3RC,7A5QTR8QBH4B,7KTTAJDBPVHC",34.8,capture
"8XEKC6B4GS30,63BPJN8D3248,7CZLAVTGCRJD,5KE9BCUHRMQA",35,capture
"2BJVRWUTC2M6,2QDUPFFE5U91,7J5Y3WGMHNEA,43UDAQG9Z597",35.2,capture
"3MF6NVFYEP89,9FFTDZEGGF87,9GLN7YUBDUS7,8Y7C8AJW7AH7",35.4,capture
"9KTP6NH5FYWB,3F3MC4ME5630,8Z82A8RWT921,572PRN9KNSTA",37.3,capture
"6JBET2DL23K3,4YMYXWX9SFJF,72JYEVZXUTSD,9NGSH98VQLP2",18.8,shotgun
"4TJAJWXBRMWF,757STCCEFL40,9BLTES97BCV9,8772NNRZ8CAC",19.6,shotgun
"96JYXSNGGSWB,4D6CB9ZKCN32,5NMB3CGQQMR1,6VF5G4ASH7R4",20.4,shotgun
"66DV5J2SSH96,535LT5DD8M25,4QAY8QLRDYYF,7EYRLMZWBVR6",20.8,shotgun
"9P2DAEEG7PZ1,2CMNPY9CNQMA,42QGW7VMJHTA,2VZYYGAH4CV4",22.2,shotgun
"6H5LBN5JE7XA,9F624U87RGDA,3EEZWB9VJMAC,2TYWZVXPR6C3",25.1,capture
"6NC55KNLWYR4,7ED4H4FYHMBE,4UYRFBH4BEE5,39MUV8E9RVF5",25.1,capture
"9CE6XZ7JEMKC,6TWWQT4BN6H8,3UZBEY3G8FS7,42M3MTWXZVQ3",25.5,capture
"8URKY7E6BZD8,3XJQX4TL24NF,5PG9AWVQGHK4,8EFULQZCWRP9",26.8,capture
"98MDSM7FNVB9,8CEAEVNGGXVC,2RH8L7WCGM65,8YPDXZUTLAS0",28.9,capture
"8XWHLSCP36S2,5TMNLN5XES5C,4KZLGFUL56C9,3PMN99YFWZP3",28.9,capture
"5JCS9DS3LL3B,47UYW38UXV4D,8PWFBDTVPEP1,5DXRQA5S99SF",29.3,capture
"4C3967NAGH83,7B7LHAUSEYQ1,4F67UW2X5MV0,3NYTGECPZU78",29.5,capture
"2LPWY9PNCQ62,26PL9VFW9LF0,7UBKD9UJCAA3,7X5WHW2599BD",30.8,capture
"8ZTQJJY92YKA,5LAM28TKXXK1,4XVXJWC82H84,9XDU928LLMCE",31.3,capture
"3TXLUVYQUY34,4MD3WSJ76JY9,V341102773,4ZC33YCFEGH2",31.9,capture
"8TXTK577VR36,3JD75S9DXMHD,6P42PG3N8TJB,6JFRS6Z36MM6",32.9,capture
"7Y5LC7XCFLU0,768CN4V6XYP4,5HE8UEKKJQB2,76S93VLW88N9",33.5,capture
"4FKV9JBCFD2F,29ZGD6DC9XSC,5877YB8LXQZ8,9EHLTBVN7CH5",34,capture
"254GXVCG7UAC,8TZJGMCP8KDE,6AEQCGWX8Z61,9ZB8MRXAY737",34.1,capture
"9E7MJYUZQX39,7YJZBK9BQ2H4,6UUFKLGH2T56,9YXBSGRSHTT9",36.5,capture
"7CX4F45RMU5D,4E8BFPX6MYV4,2DGWYCV7W2W6,9HL2MW5ZCXBC",36.6,capture
"7KUGKEW392MC,7VYBLJJH9XR8,4D2FJXHQB45F,5YDSYD4JC9CA",36.7,capture
"4LX98DBVAXE7,7VAUYVU6WLWB,4JC637CMC8HE,22D3XBTCS3X0",20.8,shotgun
"45QC575JQJK3,7YSBN8GXWVXA,8TM6FTEY83NE,8BAWGQJTCQ80",21.4,shotgun
"55AZKQZCMGV5,3GZLPT3BMN9E,9G68SKLA8XV0,7W9JB9DTJF9D",22.8,shotgun
"79UNMVJRQU57,77SMVX59C9X6,24NFEK6HZGU0,3RPARLWXW6M7",23.3,shotgun
"675GKV72ZGBD,7MFEQ936K2H2,29AHDTZ3KKR1,769MVPFXMN40",23.9,shotgun
"4S2LBX2WD3J0,2E458EAMECPC,3DDMKFAWAJ21,2WBBG7LJ85QE",24,shotgun
"2FH34Y2EY9W6,8KLU4A3Z64UA,6QT9B3TESZU9,9WH6XAQ2WJ61",24.4,shotgun
"253KQEET5P51,4H3SSN4XK6Q0,6FDRHDTL8P8B,526N38WURV23",25.4,capture
"6LDSGJWL8BP2,63BQLG5GVTE2,3N7UB5VQ33A1,5AZQ756BS4PE",26.3,capture
"2GLMHG3863J1,599FSL4HX8XC,54SUKRP4JWY3,259ZF4LW5ZJ4",26.3,capture
"92SUPJ3R7PC1,3FBZ2MSMA9LB,9JX5KWQ26MX3,8MQJLV2GR2A0",26.6,capture
"5BXVEXLLAS92,5FD48YNUKT54,8H2V8R5DS5U6,82C2HULTHTP6",26.8,capture
"6HSMFKUDS9H8,6QJZXNLZ5W89,4FWRHGGH5KDF,822WEE2T5Z39",27.4,capture
"28C9JPQ3P2AE,57VKA398JLE0,9LGVEUM4D4UD,7WQ69XH4LER7",28,capture
"5Z43ZYYE4XX5,9SYPVAJPWBB7,9BEYA8DC2H49,8HAPGQPDC6AF",28.3,capture
"2BEA6WXHGT59,7JVHPWPACYGB,9YJNQE2PW6G0,5K5VW6WXNX75",28.5,capture
"7ZYH6DFSCGB5,8BR9LWSTPPX1,V341141918,8WUQZ7JYBHE1",28.8,capture
"24NW59388ZR7,32F9PPGBVBX6,2WJWPRDMDCK4,6MU3QNVDTKEA",29.6,capture
"6CFNMK89TP4B,97LAP68GB8A6,5R2RANTHWQ72,2FJDMHWFE5PC",29.6,capture
